"participant_id","scenario","transport_mode","perceived_safety","scenario_type","pavement","obstacles","crossing_type","vehicle_traffic","bicycle_traffic","pedestrian_traffic","scenario_type1","scenario_type2","scenario_type3","scenario_type4","crossing_option1","crossing_option2","gender","age","education","employment","income","owns_car","owns_motorcycle","owns_bicycle","owns_escooter","bike_frequency","escooter_frequency","public_transport_frequency","metro_use_frequency","young_adult"
326,"scenario34","Car",5,"Urban Road (>=1.5m Sidewalk)","Bad","Many Obstacles","Signalized Zebra Crossing",100,10,15,0,1,0,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario15","Car",4,"Urban Road with Cycle Lane","Bad","No Obstacles","No Zebra Crossing",100,90,25,0,0,1,0,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario14","Car",6,"Urban Road with Cycle Lane","Bad","Many Obstacles","Signalized Zebra Crossing",20,90,25,0,0,1,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario17","Car",7,"Shared Space (30 km/h)","Good","Many Obstacles","No Zebra Crossing",60,50,5,0,0,0,1,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario04","Car",1,"Shared Space (30 km/h)","Bad","No Obstacles","Zebra Crossing",60,50,15,0,0,0,1,1,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario35","E-Bike",4,"Urban Road (<1.5m Sidewalk)","Good","Many Obstacles","No Zebra Crossing",20,10,15,1,0,0,0,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario30","E-Bike",4,"Urban Road (>=1.5m Sidewalk)","Good","No Obstacles","Signalized Zebra Crossing",60,90,5,0,1,0,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario12","E-Bike",7,"Urban Road with Cycle Lane","Good","Many Obstacles","No Zebra Crossing",60,10,25,0,0,1,0,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario31","E-Bike",2,"Shared Space (30 km/h)","Good","No Obstacles","Zebra Crossing",20,90,5,0,0,0,1,1,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario01","E-Bike",2,"Urban Road (<1.5m Sidewalk)","Bad","No Obstacles","Signalized Zebra Crossing",20,50,15,1,0,0,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario20","E-Bike",1,"Urban Road (<1.5m Sidewalk)","Good","No Obstacles","Zebra Crossing",100,50,5,1,0,0,0,1,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario09","E-Bike",2,"Urban Road (>=1.5m Sidewalk)","Bad","Many Obstacles","Zebra Crossing",100,10,25,0,1,0,0,1,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario34","E-Bike",3,"Urban Road (>=1.5m Sidewalk)","Bad","Many Obstacles","Signalized Zebra Crossing",100,10,15,0,1,0,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario15","E-Bike",7,"Urban Road with Cycle Lane","Bad","No Obstacles","No Zebra Crossing",100,90,25,0,0,1,0,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario14","E-Bike",7,"Urban Road with Cycle Lane","Bad","Many Obstacles","Signalized Zebra Crossing",20,90,25,0,0,1,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario17","E-Bike",7,"Shared Space (30 km/h)","Good","Many Obstacles","No Zebra Crossing",60,50,5,0,0,0,1,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario04","E-Bike",1,"Shared Space (30 km/h)","Bad","No Obstacles","Zebra Crossing",60,50,15,0,0,0,1,1,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario35","E-Scooter",4,"Urban Road (<1.5m Sidewalk)","Good","Many Obstacles","No Zebra Crossing",20,10,15,1,0,0,0,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario30","E-Scooter",4,"Urban Road (>=1.5m Sidewalk)","Good","No Obstacles","Signalized Zebra Crossing",60,90,5,0,1,0,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario12","E-Scooter",7,"Urban Road with Cycle Lane","Good","Many Obstacles","No Zebra Crossing",60,10,25,0,0,1,0,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario31","E-Scooter",3,"Shared Space (30 km/h)","Good","No Obstacles","Zebra Crossing",20,90,5,0,0,0,1,1,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario01","E-Scooter",2,"Urban Road (<1.5m Sidewalk)","Bad","No Obstacles","Signalized Zebra Crossing",20,50,15,1,0,0,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario20","E-Scooter",1,"Urban Road (<1.5m Sidewalk)","Good","No Obstacles","Zebra Crossing",100,50,5,1,0,0,0,1,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario09","E-Scooter",2,"Urban Road (>=1.5m Sidewalk)","Bad","Many Obstacles","Zebra Crossing",100,10,25,0,1,0,0,1,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario34","E-Scooter",3,"Urban Road (>=1.5m Sidewalk)","Bad","Many Obstacles","Signalized Zebra Crossing",100,10,15,0,1,0,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario15","E-Scooter",7,"Urban Road with Cycle Lane","Bad","No Obstacles","No Zebra Crossing",100,90,25,0,0,1,0,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario14","E-Scooter",7,"Urban Road with Cycle Lane","Bad","Many Obstacles","Signalized Zebra Crossing",20,90,25,0,0,1,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario17","E-Scooter",7,"Shared Space (30 km/h)","Good","Many Obstacles","No Zebra Crossing",60,50,5,0,0,0,1,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario04","E-Scooter",1,"Shared Space (30 km/h)","Bad","No Obstacles","Zebra Crossing",60,50,15,0,0,0,1,1,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario35","Walking",2,"Urban Road (<1.5m Sidewalk)","Good","Many Obstacles","No Zebra Crossing",20,10,15,1,0,0,0,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario30","Walking",7,"Urban Road (>=1.5m Sidewalk)","Good","No Obstacles","Signalized Zebra Crossing",60,90,5,0,1,0,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario12","Walking",7,"Urban Road with Cycle Lane","Good","Many Obstacles","No Zebra Crossing",60,10,25,0,0,1,0,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario31","Walking",4,"Shared Space (30 km/h)","Good","No Obstacles","Zebra Crossing",20,90,5,0,0,0,1,1,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario01","Walking",7,"Urban Road (<1.5m Sidewalk)","Bad","No Obstacles","Signalized Zebra Crossing",20,50,15,1,0,0,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario20","Walking",7,"Urban Road (<1.5m Sidewalk)","Good","No Obstacles","Zebra Crossing",100,50,5,1,0,0,0,1,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario09","Walking",7,"Urban Road (>=1.5m Sidewalk)","Bad","Many Obstacles","Zebra Crossing",100,10,25,0,1,0,0,1,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario34","Walking",7,"Urban Road (>=1.5m Sidewalk)","Bad","Many Obstacles","Signalized Zebra Crossing",100,10,15,0,1,0,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario15","Walking",7,"Urban Road with Cycle Lane","Bad","No Obstacles","No Zebra Crossing",100,90,25,0,0,1,0,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario14","Walking",7,"Urban Road with Cycle Lane","Bad","Many Obstacles","Signalized Zebra Crossing",20,90,25,0,0,1,0,0,1,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario17","Walking",7,"Shared Space (30 km/h)","Good","Many Obstacles","No Zebra Crossing",60,50,5,0,0,0,1,0,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
326,"scenario04","Walking",5,"Shared Space (30 km/h)","Bad","No Obstacles","Zebra Crossing",60,50,15,0,0,0,1,1,0,"Male","<18","Higher","Active","< €750","Yes","No","Yes","No","Almost Never","Almost Never","A Few Times a Year","A Few Times a Year","Yes"
327,"scenario35","Car",5,"Urban Road (<1.5m Sidewalk)","Good","Many Obstacles","No Zebra Crossing",20,10,15,1,0,0,0,0,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario30","Car",5,"Urban Road (>=1.5m Sidewalk)","Good","No Obstacles","Signalized Zebra Crossing",60,90,5,0,1,0,0,0,1,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario12","Car",5,"Urban Road with Cycle Lane","Good","Many Obstacles","No Zebra Crossing",60,10,25,0,0,1,0,0,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario31","Car",5,"Shared Space (30 km/h)","Good","No Obstacles","Zebra Crossing",20,90,5,0,0,0,1,1,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario01","Car",4,"Urban Road (<1.5m Sidewalk)","Bad","No Obstacles","Signalized Zebra Crossing",20,50,15,1,0,0,0,0,1,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario20","Car",5,"Urban Road (<1.5m Sidewalk)","Good","No Obstacles","Zebra Crossing",100,50,5,1,0,0,0,1,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario09","Car",5,"Urban Road (>=1.5m Sidewalk)","Bad","Many Obstacles","Zebra Crossing",100,10,25,0,1,0,0,1,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario34","Car",5,"Urban Road (>=1.5m Sidewalk)","Bad","Many Obstacles","Signalized Zebra Crossing",100,10,15,0,1,0,0,0,1,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario15","Car",4,"Urban Road with Cycle Lane","Bad","No Obstacles","No Zebra Crossing",100,90,25,0,0,1,0,0,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario14","Car",4,"Urban Road with Cycle Lane","Bad","Many Obstacles","Signalized Zebra Crossing",20,90,25,0,0,1,0,0,1,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario17","Car",5,"Shared Space (30 km/h)","Good","Many Obstacles","No Zebra Crossing",60,50,5,0,0,0,1,0,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario04","Car",5,"Shared Space (30 km/h)","Bad","No Obstacles","Zebra Crossing",60,50,15,0,0,0,1,1,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario35","E-Bike",3,"Urban Road (<1.5m Sidewalk)","Good","Many Obstacles","No Zebra Crossing",20,10,15,1,0,0,0,0,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario30","E-Bike",3,"Urban Road (>=1.5m Sidewalk)","Good","No Obstacles","Signalized Zebra Crossing",60,90,5,0,1,0,0,0,1,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario12","E-Bike",5,"Urban Road with Cycle Lane","Good","Many Obstacles","No Zebra Crossing",60,10,25,0,0,1,0,0,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario31","E-Bike",4,"Shared Space (30 km/h)","Good","No Obstacles","Zebra Crossing",20,90,5,0,0,0,1,1,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario01","E-Bike",2,"Urban Road (<1.5m Sidewalk)","Bad","No Obstacles","Signalized Zebra Crossing",20,50,15,1,0,0,0,0,1,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario20","E-Bike",4,"Urban Road (<1.5m Sidewalk)","Good","No Obstacles","Zebra Crossing",100,50,5,1,0,0,0,1,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario09","E-Bike",3,"Urban Road (>=1.5m Sidewalk)","Bad","Many Obstacles","Zebra Crossing",100,10,25,0,1,0,0,1,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario34","E-Bike",3,"Urban Road (>=1.5m Sidewalk)","Bad","Many Obstacles","Signalized Zebra Crossing",100,10,15,0,1,0,0,0,1,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario15","E-Bike",4,"Urban Road with Cycle Lane","Bad","No Obstacles","No Zebra Crossing",100,90,25,0,0,1,0,0,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario14","E-Bike",4,"Urban Road with Cycle Lane","Bad","Many Obstacles","Signalized Zebra Crossing",20,90,25,0,0,1,0,0,1,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario17","E-Bike",5,"Shared Space (30 km/h)","Good","Many Obstacles","No Zebra Crossing",60,50,5,0,0,0,1,0,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario04","E-Bike",5,"Shared Space (30 km/h)","Bad","No Obstacles","Zebra Crossing",60,50,15,0,0,0,1,1,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario35","E-Scooter",3,"Urban Road (<1.5m Sidewalk)","Good","Many Obstacles","No Zebra Crossing",20,10,15,1,0,0,0,0,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario30","E-Scooter",3,"Urban Road (>=1.5m Sidewalk)","Good","No Obstacles","Signalized Zebra Crossing",60,90,5,0,1,0,0,0,1,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario12","E-Scooter",5,"Urban Road with Cycle Lane","Good","Many Obstacles","No Zebra Crossing",60,10,25,0,0,1,0,0,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario31","E-Scooter",4,"Shared Space (30 km/h)","Good","No Obstacles","Zebra Crossing",20,90,5,0,0,0,1,1,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario01","E-Scooter",2,"Urban Road (<1.5m Sidewalk)","Bad","No Obstacles","Signalized Zebra Crossing",20,50,15,1,0,0,0,0,1,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario20","E-Scooter",4,"Urban Road (<1.5m Sidewalk)","Good","No Obstacles","Zebra Crossing",100,50,5,1,0,0,0,1,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario09","E-Scooter",3,"Urban Road (>=1.5m Sidewalk)","Bad","Many Obstacles","Zebra Crossing",100,10,25,0,1,0,0,1,0,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
327,"scenario34","E-Scooter",3,"Urban Road (>=1.5m Sidewalk)","Bad","Many Obstacles","Signalized Zebra Crossing",100,10,15,0,1,0,0,0,1,"Male","<18","Higher","Active","€750-1500","Yes","Yes","Yes","No",NA,NA,"A Few Times a Month","A Few Times a Month","Yes"
